'name,code,asset_amount,currency_amount,domain
General Atomics,GENA,2146999999 GENA,$0.381,uranium.stellar-commodities.com
PLU,PLU,2146999999 PLU,$0.381,uranium.stellar-commodities.com
Yunan Aluminium Co.,YUN,2099999979 YUN,$0.381,aluminum.stellar-commodities.com
WFG,WFG,2099999974 WFG,$0.381,forestry.stellar-commodities.com
Lavazza,LVZA,2009999994 LVZA,$0.381,coffee.stellar-commodities.com
Coal India Ltd.,CIL,1999999999 CIL,$0.379,coal.stellar-commodities.com
Surteco Group,SUR,2079999999 SUR,$0.377,forestry.stellar-commodities.com
AVNO,AVNO,4146999991 AVNO,$0.376,silver.stellar-commodities.com
CNNC,CNNC,2146999999 CNNC,$0.376,uranium.stellar-commodities.com
Elevate Uranium Ltd.,EUL,2146999999 EUL,$0.376,uranium.stellar-commodities.com
Caffe Nero,NERO,1999999444 NERO,$0.376,coffee.stellar-commodities.com
Tully’s Coffee,TULY,2109999997 TULY,$0.374,coffee.stellar-commodities.com
DAI,DAI,148404238 DAI,$0.374,No Domain
Norsk Hydro ASA,NORSK,1999999969 NORSK,$0.373,aluminum.stellar-commodities.com
MSN,MSN,2049999993 MSN,$0.372,forestry.stellar-commodities.com
SUNGOLD,SUNGOLD,281435.26 SUNGOLD,$0.370,No Domain
ANG,ANG,2146999999 ANG,$0.368,gold.stellar-commodities.com
Xinfa Group Co.,XINF,2009999997 XINF,$0.364,aluminum.stellar-commodities.com
Denison Mines,DNN,2146999999 DNN,$0.363,uranium.stellar-commodities.com
American Woodmark,AMWD,1999999999 AMWD,$0.362,forestry.stellar-commodities.com
ACNR Holdings Inc.,ACNR,1999999999 ACNR,$0.362,coal.stellar-commodities.com
DPD,DPD,1999999998 DPD,$0.362,forestry.stellar-commodities.com
ZSX,ZSX,1999999998 ZSX,$0.362,forestry.stellar-commodities.com
UFPI,UFPI,1999999998 UFPI,$0.362,forestry.stellar-commodities.com
Mingtai Aluminium,MING,1999999998 MING,$0.362,aluminum.stellar-commodities.com
Steico SE,STC,1999999997 STC,$0.362,forestry.stellar-commodities.com
Celulosa Arauco,ARCO,1999999994 ARCO,$0.362,forestry.stellar-commodities.com
Holmen AB,HOLM,1999999993 HOLM,$0.362,forestry.stellar-commodities.com
Patrick Industries,PATK,1999999987 PATK,$0.362,forestry.stellar-commodities.com
Stella-Jones,STJ,1999999987 STJ,$0.362,forestry.stellar-commodities.com
GT,GT,1444444444 GT,$0.362,rubber.stellar-commodities.com
VSMPO-AVISMA Corp.,VSMO,1989994444 VSMO,$0.360,aluminum.stellar-commodities.com
Caffe Ritazza,CRTZ,4054905903 CRTZ,$0.356,coffee.stellar-commodities.com
Peñoles Mining,IPOAF,4146999473 IPOAF,$0.351,silver.stellar-commodities.com
ACER,ACER,138461583 ACER,$0.350,No Domain
Costa coffee,COSTA,1899999444 COSTA,$0.344,coffee.stellar-commodities.com
GLC,GLC,452212.94 GLC,$0.343,No Domain
BHP Group,BHP,2146999999 BHP,$0.340,uranium.stellar-commodities.com
Nucor Corporation,NUE,2146999999 NUE,$0.339,steel.stellar-commodities.com
ARAMCO,ARAMCO,3999999998 ARAMCO,$0.338,gas.stellar-commodities.com
ALONG LANDBANK,IXV,266430005 IXV,$0.338,agrogenesis.in
Vanguard Growth ETF,VUG,133180461 VUG,$0.336,StellarETFs.com
SilverCrest Metals,SVC,4146999997 SVC,$0.329,silver.stellar-commodities.com
