name,code,asset_amount,currency_amount,domain,asset_issuer
JELD-WEN Holding,JELD,1999999944,$0.118,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
Canfor Corporation,CFP,1999999876,$0.118,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
Norbord Inc.,NRBD,1996969694,$0.118,forestry.stellar-commodities.com,GB7WDOH5D57OSCEXEF3N5JMT6B2YDFOGNWVWDCFKMW7YZYG72SHDSGIW
FIVR,FIVR,310526334.21,$0.118,No Domain,GBGJUBIKVROW6XSWPKHW3FXLEM5O4SBGWZ55SXRSW2WEHSWSMLEJGMMG
SILVERTRADE,SILVERTRADE,3879310.34,$0.118,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
ITGOLDSALES,ITGOLDSALES,2941176.47,$0.118,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
GOLDTRANSFER,GOLDTRANSFER,1666666.67,$0.118,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
QNB,QNB,130002002.69,$0.117,No Domain,GC5TKH22CPW4BC5KUPBN233IMESBRJOJ6WUSOAN3R4KMWTFTUVO4ASZD
GOLDMINE,GOLDMINE,2083333.33,$0.116,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
SLVRTRANSFER,SLVRTRANSFER,1759834.37,$0.116,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
GOLDRESERVE,GOLDRESERVE,752129.88,$0.115,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
CONT,CONT,1537064179,$0.114,No Domain,GBBBKVDTVYK3D6VPRM6T2I63XHM6PJAAS5T4T25WTVL3AD2Q5VX6HESG
INSILVERSALE,INSILVERSALE,2941176.47,$0.112,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
AUSILVERSALE,AUSILVERSALE,1470588.24,$0.112,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
SILVERMINE,SILVERMINE,1724137.93,$0.109,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
GSINDUS,GSINDUS,518409.20,$0.108,No Domain,GCN2N7NUM5LVSXPCE63LENMXBBBG53VWLDTBNZSIGJ6EUKAMDUEMDHBP
DEGOLDSALES,DEGOLDSALES,1877289.38,$0.107,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
RHODIUMMINE,RHODIUMMINE,1282051.28,$0.107,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
SLVRDIVIDEND,SLVRDIVIDEND,714285.71,$0.105,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
FARMBOND 110.1%,FB01,234701889.95,$0.104,agrogenesis.in,GAEOCYPIX36WFIJH4JS4AYZPAJLQBI6BTA5TWCDACGHY3JFHTUOAFARM
MEITUAN,MEITUAN,210006999.90,$0.102,No Domain,GB7QZLIXRRJSW3524ROKQPCRPNGBNUZP7MKQK724ZVUHDIAWCAASS5OP
IPAYSWISS,IPAYSWISS,6666668,$0.101,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
RHODIUMSPOT,RHODIUMSPOT,352113.42,$0.101,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
Pirelli,PIRC,1696969696,$0.100,rubber.stellar-commodities.com,GCYIPD2C7DMFZ45UNJRFBXDQ57A55LXP7SFGHOJHOT7DPYM3PG2OJB33
Xstrata,XST,400000699,$0.100,platinum.stellar-commodities.com,GB3TORQPESHPJO4R62VV43ROKEFTFGLES4FF4JSJMFP7X7FU6HQ2SBSI
CAGOLDSALES,CAGOLDSALES,2631578.95,$0.100,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
GOLDSPOT,GOLDSPOT,1001224.84,$0.0991,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
USGOLDMINE,USGOLDMINE,2631578.95,$0.0935,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
RR,RR,305598255.80,$0.0923,No Domain,GDLY2XNU57EQKYXK4XLN7N7ZKHH62FXYQZ2UPUJ6YD75AZYLUUO5QLST
AUGOLDSALES,AUGOLDSALES,1136363.64,$0.0923,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
Century Aluminum Co.,CENX,1444444444,$0.0917,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
SEBA,SEBA,1285443.20,$0.0913,swisscustody.org,GDOD3EW7SAJXVJB43R7LDR4FC4MFXES6KJ4YGGFTWSFID3XV6WL5W3LY
IPAYJP,IPAYJP,3648645.45,$0.0906,No Domain,GDEUQ2MX3YXMITFOTC3CO3GW5V3XE3IVG7JKLZZAOZ7WFYIN256INDUS
KOCH,KOCH,262553196,$0.0894,No Domain,GDJSCIRHDGDGEI5SABB4COMUCJXM7S7HJQPHMF2AL3KX4Q4RHWGAQWGQ
